id,title,type,genres,averageRating,numVotes,releaseYear
tt0108052,"Schindler's List",movie,"Biography, Drama, History",9,1480407,1993
tt0071562,"The Godfather Part II",movie,"Crime, Drama",9,1390249,1974
tt0050083,"12 Angry Men",movie,"Crime, Drama",9,888102,1957
tt0386676,"The Office",tvSeries,Comedy,9,740142,2005
tt3032476,"Better Call Saul",tvSeries,"Crime, Drama",9,682541,2015
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9,290628,2021
tt0388629,"One Piece",tvSeries,"Action, Adventure, Animation",9,261753,1999
tt2098220,"Hunter x Hunter",tvSeries,"Action, Adventure, Animation",9,145892,2011
tt0103359,"Batman: The Animated Series",tvSeries,"Action, Adventure, Animation",9,121027,1992
tt12004706,Panchayat,tvSeries,"Comedy, Drama",9,97489,2020
tt0052520,"The Twilight Zone",tvSeries,"Drama, Fantasy, Horror",9,96007,1959
tt9432978,"Kota Factory",tvSeries,"Comedy, Drama",9,85253,2019
tt27719898,Kaiva,movie,"Action, Drama, Romance",9,68911,2023
tt10541088,"Clarkson's Farm",tvSeries,"Comedy, Documentary, Reality-TV",9,65114,2021
tt0081912,"Only Fools and Horses",tvSeries,Comedy,9,57772,1981
tt7920978,Persona,tvSeries,"Crime, Drama, Mystery",9,48539,2018
tt21279678,"NCR Days",tvSeries,Drama,9,43851,2022
tt0296310,"The Blue Planet",tvSeries,Documentary,9,43360,2001
tt14986406,"Bleach: Thousand-Year Blood War",tvSeries,"Action, Adventure, Animation",9,42647,2022
tt2092588,"Frozen Planet",tvMiniSeries,Documentary,9,33457,2011
tt1806234,"Human Planet",tvMiniSeries,Documentary,9,28090,2011
tt8595766,"Yeh Meri Family",tvSeries,"Comedy, Drama, Family",9,26238,2018
tt0268093,Ramayan,tvSeries,"Adventure, Drama, Family",9,24599,1987
tt13675832,"As If",tvSeries,Comedy,9,24312,2021
tt4934214,Taskmaster,tvSeries,"Comedy, Game-Show",9,21247,2015
tt0098769,"The Civil War",tvMiniSeries,"Documentary, History, War",9,19069,1990
tt1508238,"Apocalypse: The Second World War",tvMiniSeries,"Documentary, History, War",9,14639,2009
tt5182866,"Reply 1988",tvSeries,"Comedy, Drama, Family",9,13202,2015
tt3212600,Mahabharat,tvSeries,"Drama, History, War",9,12040,2013
tt0110912,"Pulp Fiction",movie,"Crime, Drama",8.9,2266176,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",8.9,2049867,2001
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1111764,1994
tt2356777,"True Detective",tvSeries,"Crime, Drama, Mystery",8.9,673376,2014
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.9,431057,2014
tt0877057,"Death Note",tvSeries,"Animation, Crime, Drama",8.9,396656,2006
tt0098904,Seinfeld,tvSeries,Comedy,8.9,358841,1989
tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,285207,2002
tt0213338,"Cowboy Bebop",tvSeries,"Action, Adventure, Animation",8.9,144638,1998
tt1865718,"Gravity Falls",tvSeries,"Adventure, Animation, Comedy",8.9,144500,2012
tt0200276,"The West Wing",tvSeries,Drama,8.9,87708,1999
tt2297757,"Nathan for You",tvSeries,"Comedy, Documentary",8.9,40103,2013
tt5354160,"Mirror Game",movie,"Crime, Mystery, Thriller",8.9,30057,2016
tt9735318,"The Beatles: Get Back",tvMiniSeries,"Biography, Documentary, Music",8.9,29237,2021
tt0092337,Dekalog,tvMiniSeries,Drama,8.9,28433,1989
tt1909015,Undercover,tvSeries,"Action, Crime, Drama",8.9,27770,2011
tt0253828,"Tosun Pasha",movie,Comedy,8.9,24991,1976
tt0252488,"The Chaos Class Failed the Class",movie,Comedy,8.9,24976,1975
tt22248376,"Frieren: Beyond Journey's End",tvSeries,"Adventure, Animation, Drama",8.9,24610,2023
tt0158417,Mahabharat,tvSeries,"Action, Adventure, Drama",8.9,23924,1988
tt5275892,"O.J.: Made in America",movie,"Biography, Crime, Documentary",8.9,22613,2016
tt13868972,"Rocket Boys",tvSeries,"Drama, History",8.9,18429,2022
tt1518542,"Sarabhai V/S Sarabhai",tvSeries,Comedy,8.9,18411,2004
tt2571774,Africa,tvMiniSeries,Documentary,8.9,17366,2013
tt0075143,"The Message",movie,"Action, Adventure, Biography",8.9,10966,1976
tt5851616,"Tash ma Tash",tvSeries,"Comedy, Drama",8.9,10695,1992
